Tue Aug 13 15:21:30 2024    profile_data.prof

         297998 function calls (292075 primitive calls) in 14.634 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
33439/33315    0.014    0.000    0.015    0.000 {built-in method builtins.isinstance}
    28688    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    14607    0.011    0.000    0.015    0.000 sre_parse.py:164(__getitem__)
    13140    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
10484/10258    0.004    0.000    0.005    0.000 {built-in method builtins.len}
     7825    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     7433    0.021    0.000    0.021    0.000 sre_parse.py:233(__next)
     7410    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
     7217    0.008    0.000    0.028    0.000 sre_parse.py:254(get)
     7190    0.012    0.000    0.015    0.000 sre_parse.py:172(append)
     6221    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     6210    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     6182    0.005    0.000    0.005    0.000 {built-in method builtins.setattr}
     5899    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     4475    0.007    0.000    0.019    0.000 {method 'join' of 'str' objects}
     3078    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
 2131/144    0.004    0.000    1.902    0.013 {built-in method builtins.hasattr}
     2130    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FFCF7F44C60}
     2040    0.001    0.000    0.001    0.000 dataclasses.py:391(<genexpr>)
     2036    0.006    0.000    0.149    0.000 re.py:289(_compile)
     2005    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     1971    0.029    0.000    0.054    0.000 tokenize.py:429(_tokenize)
     1956    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1868    0.008    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
     1868    0.043    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
     1678    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     1521    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1373    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1278    0.001    0.000    0.147    0.000 re.py:250(compile)
     1272    0.002    0.000    0.008    0.000 types.py:171(__get__)
     1269    0.006    0.000    0.006    0.000 enum.py:792(value)
     1268    0.002    0.000    0.014    0.000 tokenize.py:98(_compile)
     1247    0.004    0.000    0.005    0.000 sre_parse.py:355(_escape)
     1235    0.001    0.000    0.001    0.000 {method 'span' of 're.Match' objects}
     1195    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1195    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1161    0.002    0.000    0.004    0.000 typing.py:665(_is_dunder)
     1161    0.004    0.000    0.008    0.000 typing.py:713(__setattr__)
     1137    0.001    0.000    0.001    0.000 dataclasses.py:597(_is_classvar)
     1137    0.001    0.000    0.001    0.000 dataclasses.py:605(_is_initvar)
     1122    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
     1102    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      988    0.005    0.000    0.011    0.000 dataclasses.py:612(_is_type)
